name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,created_at
Feltron 80 cm (32 inch) HD Ready LED Smart Android Based TV,8990,21990,59% off,0,0,0,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase']",2022-09-24 23:32:59.406035+05:30
LG 109.22 cm (43 inch) Ultra HD (4K) LED Smart TV,39390,64990,39% off,26,3,4.1,"['Ultra HD (4K) 3840 x 2160 Pixels', '35W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']",2022-09-24 23:32:59.406035+05:30
"Hisense A73F 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...",59990,89990,33% off,105,20,4.3,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive']",2022-09-24 23:32:59.406923+05:30
Yuwa 24 HD 60 cm (24 inch) HD Ready LED TV,5299,10192,48% off,48,5,3,"['HD Ready 1366*768 Pixels', '1 Year Manufacturer Warranty']",2022-09-24 23:32:59.406923+05:30
AISEN 80 cm (32 inch) HD Ready LED TV,12990,13990,7% off,0,0,0,"['HD Ready 1366 x 768 Pixels', '3 Years Warranty']",2022-09-24 23:32:59.406923+05:30
SONY Bravia 108 cm (43 inch) Full HD LED Smart Linux based TV,38990,44900,13% off,209,29,4.5,"['Operating System: Linux based', 'Full HD 1920 x 1080 Pixels', ""1 Year Comprehensive warranty and 2 Years Additional warranty on Panel (Offer Valid for purchases between 22nd Sep'22 to 31 Oct'22)""]",2022-09-24 23:32:59.406923+05:30
BPL 127 cm (50 inch) Ultra HD (4K) LED Smart TV,34200,60000,43% off,0,0,0,"['Ultra HD (4K) 3840 x 2160 - Ultra HD Pixels', '2 Year Comprehensive Domestic Warranty']",2022-09-24 23:32:59.407921+05:30
"Dyanora 127 cm (50 inch) Ultra HD (4K) LED Smart Android Based TV with Noise Reduction, Android 9.0, G...",23999,40999,41% off,9,1,4.7,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'Ultra HD (4K) 3840 x 2160 Pixels', '40 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'IPS 4K', '1 Year Manufacturer Warranty from the Date of Purchase']",2022-09-24 23:32:59.407921+05:30
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,45400,56900,20% off,17,3,4.3,"['Operating System: Tizen', 'Ultra HD (4K) 1920 x 1080 Pixels', '1 Year Comprehensive Manufacturer Warranty on Product and 1 Year Additional Warranty on Panel']",2022-09-24 23:33:00.078006+05:30
SAMSUNG Series 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,104900,104900,0,64,11,4.5,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive and 1 Year Additional on Panel from Samsung']",2022-09-24 23:33:00.078006+05:30
